rockgroup,rule,n_transects,lith_class
sandstone,surficial_sand,79376,unconsolidated_sand
sand,surficial_sand,55737,unconsolidated_sand
gravel,surficial_alluvium,32032,alluvium_gravel
sandstone,surficial_alluvium,11480,alluvium_gravel
conglomerate,surficial_alluvium,9835,alluvium_gravel
breccia,surficial_alluvium,6589,alluvium_gravel
sandstone,rockgroup_dict,6560,soft_sedimentary
mudstone,rockgroup_dict,6134,soft_sedimentary
greywacke,basement_override,2928,hard_sedimentary
basalt,rockgroup_dict,2364,volcanic_hard
mudstone,surficial_alluvium,2181,alluvium_gravel
granite,rockgroup_dict,1923,plutonic
mudstone,basement_override,1129,hard_sedimentary
siltstone,rockgroup_dict,854,soft_sedimentary
sandstone,basement_override,803,hard_sedimentary
gravel,rockgroup_dict,750,alluvium_gravel
till,surficial_alluvium,694,alluvium_gravel
agglomerate,surficial_alluvium,692,alluvium_gravel
fill,surficial_alluvium,572,alluvium_gravel
andesite,rockgroup_dict,572,volcanic_hard
conglomerate,rockgroup_dict,544,soft_sedimentary
melange,rockgroup_dict,453,soft_sedimentary
alternating sandstone/mudstone,rockgroup_dict,436,soft_sedimentary
gabbro,rockgroup_dict,427,plutonic
granodiorite,rockgroup_dict,405,plutonic
silt,surficial_alluvium,345,alluvium_gravel
loess,surficial_alluvium,309,alluvium_gravel
peat,surficial_sand,280,unconsolidated_sand
sand,rockgroup_dict,266,unconsolidated_sand
monzonite,rockgroup_dict,224,plutonic
limestone,rockgroup_dict,222,hard_sedimentary
alternating sandstone/siltstone,rockgroup_dict,214,soft_sedimentary
paragneiss,rockgroup_dict,173,metamorphic
schist,rockgroup_dict,147,metamorphic
mud,surficial_alluvium,140,alluvium_gravel
breccia,breccia_volcanic,114,volcanic_soft
rhyolite,rockgroup_dict,100,volcanic_hard
diorite,rockgroup_dict,88,plutonic
mudstone,surficial_sand,73,unconsolidated_sand
chert,basement_override,72,hard_sedimentary
dacite,rockgroup_dict,56,volcanic_hard
ignimbrite,rockgroup_dict,54,volcanic_soft
gneiss,rockgroup_dict,44,metamorphic
alternating sandstone/mudstone,basement_override,36,hard_sedimentary
semischist,rockgroup_dict,31,metamorphic
metavolcanic,rockgroup_dict,27,metamorphic
conglomerate,basement_override,26,hard_sedimentary
trachyte,rockgroup_dict,14,volcanic_hard
monzodiorite,rockgroup_dict,11,plutonic
metasediment,basement_override,2,hard_sedimentary
