Region,alluvium_gravel,hard_sedimentary,metamorphic,plutonic,soft_sedimentary,unconsolidated_sand,volcanic_hard,volcanic_soft
Auckland,8.1,10.2,0.0,0.0,7.3,73.5,0.9,0.0
Bay of Plenty,79.8,0.3,0.0,0.0,4.4,15.4,0.2,0.0
Canterbury,84.3,0.1,0.0,0.0,5.4,9.3,0.9,0.0
Gisborne,7.7,0.0,0.0,0.0,39.3,53.0,0.0,0.0
Hawkes Bay,4.7,0.1,0.0,0.0,11.4,83.8,0.0,0.0
Manawatu,12.5,0.0,0.0,0.0,5.4,82.0,0.0,0.0
Marlborough,74.6,0.0,0.0,0.0,5.7,19.7,0.0,0.0
Nelson,7.3,1.4,0.0,10.9,0.0,80.3,0.0,0.0
Northland,1.1,4.6,0.1,1.4,3.6,85.6,3.7,0.0
Otago,18.9,1.3,0.7,0.0,8.6,66.5,3.4,0.7
Southland,4.9,2.9,0.0,3.6,0.0,88.5,0.0,0.0
Taranaki,48.5,0.0,0.0,0.0,0.2,51.3,0.0,0.0
Tasman,28.8,0.7,0.7,16.4,4.4,48.9,0.0,0.0
Waikato,34.7,7.3,0.0,0.0,16.5,35.9,5.3,0.3
Wellington,49.1,2.6,0.0,0.0,8.4,39.9,0.0,0.0
West Coast,10.8,0.5,1.0,0.5,0.4,86.8,0.0,0.0
