site,site_lat,site_lon,nearest_UniqueID,transect_dist_km,obs_range_m,spring_range_m,obs_over_spring,n_tide_obs
nzd0001,-34.42336899745555,172.97754608288403,100004008556,0.04081731497939902,2.0758168713374117,1.964210834503174,1.0568197847572036,239
nzd0063,-35.22624206085428,174.0569553196292,100117705507,21.58802509540032,1.9921688884952609,1.853653564453125,1.0747255726196072,349
nzd0125,-36.365002594777245,174.82415079081528,100185141796,3.2303031225278387,2.354259439161003,2.0916312026977537,1.1255614451173397,683
nzd0188,-36.993183289413864,175.85838668631973,100313916971,0.12765039477849016,1.8470833500594344,1.6376096153259276,1.1279143287710947,694
nzd0250,-38.219337971002474,174.7155345439827,100539464030,0.060870827163239896,2.851424578395352,2.9313916015625,0.972720457026443,339
nzd0313,-40.508590799266976,172.81221288695792,200003642104,6.704652062787366,3.0491024369760984,3.5822023010253905,0.8511809721364161,382
nzd0375,-41.86865332163232,174.15870152186844,200169782774,0.23569005150721706,1.7019989055025233,1.359281063079834,1.252131697947859,497
nzd0437,-43.47544178980785,172.72414848869462,200195524252,0.21560145080750295,2.171091613921561,1.7713869762420655,1.2256450132243009,570
nzd0499,-45.753710611743706,170.6486236168615,200269931210,0.0710180804615034,1.8612302094667776,1.6042018127441406,1.1602219837184733,631
nzd0561,-46.77675395766695,168.5257855812693,200317632290,18.716083041652485,2.1877307676438162,2.20395637512207,0.9926379634091645,522
