lith_class,(null),b,brb,brb-d,brb-hp,brb-m,brb-s,brb-wt,brbp,cp,es,fdb,fdb-cf,fdb-m,fdb-s,fdb-t,fdbp,fdbp-cf,fdbp-m,fdbp-s,ibb,pb,r
alluvium_gravel,7537,6451,17434,419,813,276,158,88,7572,916,489,12323,171,805,2052,969,3840,0,157,0,155,2616,378
hard_sedimentary,1324,1464,477,0,0,0,0,0,29,0,0,1417,0,95,17,0,275,0,0,48,0,72,0
metamorphic,30,225,64,0,0,0,0,0,0,0,0,10,0,0,80,0,13,0,0,0,0,0,0
plutonic,1254,1251,0,0,0,0,0,0,0,0,0,358,0,0,128,0,57,0,0,0,0,30,0
soft_sedimentary,2297,5490,737,0,0,0,8,0,306,0,0,3860,0,34,226,0,629,0,145,6,129,1328,0
unconsolidated_sand,10988,13288,11876,0,0,49,2326,104,1101,0,334,27745,0,2124,6064,481,54807,1278,307,1688,0,940,232
volcanic_hard,692,190,141,99,0,31,0,0,0,0,0,1392,0,5,1,29,121,0,0,4,11,390,0
volcanic_soft,27,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,30,0,0,0,0,0,0
