Region,rain_mm_yr
West Coast,2987.570922434269
Tasman,1714.1833822685676
Waikato,1509.235263958341
Southland,1426.7486315695476
Gisborne,1386.8304466527127
Auckland,1340.3572649059888
Bay of Plenty,1335.7284727840597
Taranaki,1303.9691347100252
Northland,1257.522360149623
Wellington,1133.128104953064
Hawkes Bay,1125.7283040863642
Nelson,1098.4642876129117
Manawatu,931.147831931204
Otago,729.8013714745007
Marlborough,657.6200977335825
Canterbury,616.5464283497691
