Region,spring_range_m
Marlborough,1.2653320038574265
Wellington,1.3618454117153547
Hawkes Bay,1.4106389610311871
Gisborne,1.434535741726873
Bay of Plenty,1.6223625855918515
Otago,1.6596617175310975
Canterbury,1.7000906504117694
Manawatu,2.064228430120393
Southland,2.091412644392454
Northland,2.264805234282146
Auckland,2.531254964822846
Waikato,2.5486906312376867
West Coast,2.5709575613487803
Taranaki,2.9441385739607817
Nelson,3.454877743501123
Tasman,3.5234734287683045
