Region,n,shaking_idx_mean,n_M4_50km_mean,n_M6_100km_mean,dist_M65_km_median,coseismic_pct
Hawkes Bay,13494,8.142,274.188,10.488,24.586,0.0
Marlborough,5083,7.921,699.163,7.294,128.682,0.0
Canterbury,21875,7.841,159.29,5.23,50.811,40.114
Gisborne,8313,7.775,247.928,11.848,43.362,0.0
West Coast,20987,7.77,153.236,5.936,55.209,31.472
Manawatu,10441,7.735,304.581,8.241,77.171,0.0
Nelson,3036,7.73,308.659,8.065,98.552,0.0
Wellington,11113,7.719,204.122,7.523,50.743,0.0
Tasman,10101,7.628,270.556,3.13,111.79,0.0
Southland,12380,7.618,32.704,1.511,145.391,0.929
Bay of Plenty,13902,7.606,1040.493,19.081,18.426,0.0
Taranaki,17047,7.369,320.088,7.539,81.39,0.0
Otago,15424,7.279,8.385,0.0,244.009,0.0
Waikato,16587,7.255,34.651,3.551,106.376,0.0
Auckland,11488,7.082,5.757,0.047,199.206,0.0
Northland,37267,6.837,2.022,0.0,362.231,0.0
