Region,n,vlm_mean_mm_yr,vlm_median_mm_yr,rslr_mean_mm_yr,join_dist_median_m
Wellington,11113,-3.964,-4.19,5.764,473.211
Nelson,3036,-2.048,-2.096,3.848,317.864
Manawatu,10441,-1.823,-1.702,3.623,483.972
Hawkes Bay,13494,-1.808,-1.719,3.608,501.988
Auckland,11488,-1.783,-1.852,3.583,444.476
Tasman,10101,-1.774,-2.014,3.574,401.595
Northland,37267,-1.078,-1.32,2.878,553.525
Marlborough,5083,-0.994,-1.013,2.794,451.23
Waikato,16587,-0.698,-0.558,2.498,444.359
Gisborne,8313,-0.57,-0.419,2.37,480.918
Canterbury,21875,-0.529,-0.267,2.329,494.735
Taranaki,17047,-0.407,-0.445,2.207,477.92
West Coast,20987,-0.229,-0.516,2.029,496.339
Southland,12380,-0.179,-0.268,1.979,475.024
Otago,15424,-0.134,-0.109,1.934,465.587
Bay of Plenty,13902,0.919,0.68,0.881,465.255
