Region,d01_waves,d02_slope,d03_vlm,d04_elevation,d05_tides,d06_rivers,d07_typology,d08_geology,d09_quakes
Auckland,100.0,69.1,100.0,99.2,100.0,100.0,97.7,100.0,100.0
Bay of Plenty,100.0,98.9,100.0,100.0,100.0,100.0,98.4,100.0,100.0
Canterbury,100.0,94.7,100.0,100.0,100.0,100.0,99.5,100.0,100.0
Gisborne,100.0,84.9,100.0,99.4,100.0,100.0,98.1,100.0,100.0
Hawkes Bay,100.0,88.0,100.0,95.4,100.0,100.0,98.7,100.0,100.0
Manawatu,100.0,93.0,100.0,75.0,100.0,100.0,99.6,100.0,100.0
Marlborough,100.0,99.4,100.0,100.0,100.0,100.0,97.9,100.0,100.0
Nelson,100.0,0.0,100.0,99.5,100.0,100.0,95.2,100.0,100.0
Northland,100.0,78.6,100.0,98.8,100.0,100.0,98.2,100.0,100.0
Otago,100.0,81.3,100.0,98.9,100.0,100.0,98.0,100.0,100.0
Southland,100.0,74.6,100.0,82.5,100.0,100.0,98.6,100.0,100.0
Taranaki,100.0,10.0,100.0,99.9,100.0,100.0,96.8,100.0,100.0
Tasman,100.0,0.0,100.0,99.8,100.0,100.0,96.2,100.0,100.0
Waikato,100.0,66.6,100.0,99.8,100.0,100.0,97.9,100.0,100.0
Wellington,100.0,49.1,100.0,100.0,100.0,100.0,98.8,100.0,100.0
West Coast,100.0,88.3,100.0,98.6,100.0,100.0,98.9,100.0,100.0
ALL,100.0,71.7154258810351,100.0,97.15233352877858,100.0,100.0,98.23705466924537,100.0,100.0
