Typology,Auckland,Bay of Plenty,Canterbury,Gisborne,Hawkes Bay,Manawatu,Marlborough,Nelson,Northland,Otago,Southland,Taranaki,Tasman,Waikato,Wellington,West Coast
(no source row),267,226,103,159,178,46,106,145,687,302,176,537,385,346,130,236
Accretion_HC,2899,5320,4847,3175,4352,4590,1653,409,11055,3337,5580,674,1886,3384,3774,3338
Accretion_LC,1837,2312,1403,1099,2270,2473,824,198,9307,1358,1558,1717,1176,4081,1226,3251
Erosion_HC,2629,2497,12226,1426,3133,1175,978,529,3304,5535,1738,6139,2227,2604,2384,6560
Erosion_LC,1944,1752,1901,986,1953,1591,658,468,6418,2069,1667,3707,1060,3110,2208,5309
Stable,95,15,77,16,53,12,63,92,118,173,119,217,75,87,156,56
Unresolved,1817,1780,1318,1452,1555,554,801,1195,6378,2650,1542,4056,3292,2975,1235,2237
