nzsegment,mouth_x,mouth_y,us_rain,Q_m3s,name,us_catarea_km2
14330003,1355561.7814999996,4863428.1068,1266.9661937682909,501.49673288175995,Clutha,21110.57648
15308908,1183849.4258,4870453.6959,2771.0,438.609834674176,Waiau (Southland),8248.577024
3050201,1751186.9442,5862798.1796,1507.3,381.40947696230404,Waikato,14473.095168
12035600,1482865.1289,5379047.2326,2562.5,347.54894032896004,Buller,6426.80832
13212900,1453504.1201,5021583.2032,1424.8,337.236732155904,Waitaki,11903.453184
