region,aoi,shoreline_file,shoreline_path,row_number,dsas_date,date_column,date_method,source,source_method,pixel_er,pixel_er_method,mosaic_path,georef_er,georef_er_method,photoscale,cps,cps_method,dig_er,total_uncy,status,flag_reason
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,0,2024-01-01,DSAS_Date,attribute table,LDS,attribute table,0.075,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.43649169522454834,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,1,2024-01-01,DSAS_Date,attribute table,LDS,attribute table,0.075,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.43649169522454834,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,2,2017-01-01,DSAS_Date,attribute table,LDS,attribute table,0.075,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.43649169522454834,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,3,2017-01-01,DSAS_Date,attribute table,LDS,attribute table,0.075,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.43649169522454834,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,4,2017-01-01,DSAS_Date,attribute table,LDS,attribute table,0.075,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.43649169522454834,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,5,2012-01-01,DSAS_Date,attribute table,LDS,attribute table,0.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.6594694837519018,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,6,2012-01-01,DSAS_Date,attribute table,LDS,attribute table,0.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.6594694837519018,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,7,2012-01-01,DSAS_Date,attribute table,LDS,attribute table,0.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.6594694837519018,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,8,2012-01-01,DSAS_Date,attribute table,LDS,attribute table,0.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.6594694837519018,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,9,2012-01-01,DSAS_Date,attribute table,LDS,attribute table,0.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.6594694837519018,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,10,2012-01-01,DSAS_Date,attribute table,LDS,attribute table,0.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.6594694837519018,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,11,2012-01-01,DSAS_Date,attribute table,LDS,attribute table,0.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,0.6594694837519018,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,12,2003-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,13,2003-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,14,2003-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,15,2003-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,16,2003-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,17,2003-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,18,2003-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,19,2003-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,20,1999-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,21,1999-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,22,1999-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,23,1999-01-01,DSAS_Date,attribute table,LDS,attribute table,2.5,attribute table:Pixel_ER,,0.0,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.536710468303389,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,24,1988-02-01,DSAS_Date,attribute table,RL,attribute table,0.685681280689272,gml-sidecar:stack-exact-date:1988-02-01:Hobsonville_1988Feb01.jp2,Z:\Retrolens\Auckland\Hobsonville\Stack\Hobsonville_1988Feb01.jp2,2.43,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.5612416556599418,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,25,1988-02-01,DSAS_Date,attribute table,RL,attribute table,0.685681280689272,gml-sidecar:stack-exact-date:1988-02-01:Hobsonville_1988Feb01.jp2,Z:\Retrolens\Auckland\Hobsonville\Stack\Hobsonville_1988Feb01.jp2,2.43,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.5612416556599418,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,26,1988-02-01,DSAS_Date,attribute table,RL,attribute table,0.685681280689272,gml-sidecar:stack-exact-date:1988-02-01:Hobsonville_1988Feb01.jp2,Z:\Retrolens\Auckland\Hobsonville\Stack\Hobsonville_1988Feb01.jp2,2.43,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.5612416556599418,READY,
Auckland,Hobsonville,Hobsonville_shorelines.shp,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,27,1988-02-01,DSAS_Date,attribute table,RL,attribute table,0.685681280689272,gml-sidecar:stack-exact-date:1988-02-01:Hobsonville_1988Feb01.jp2,Z:\Retrolens\Auckland\Hobsonville\Stack\Hobsonville_1988Feb01.jp2,2.43,attribute table:Georef_ER,,1,defaulted to CPS=1,0.43,2.5612416556599418,READY,
