filename,region,aoi,is_new_shoreline,total_rows,excluded_rows,included_rows,reason
Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,Auckland,Hobsonville,True,78,78,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_01MAR2015.shp,Auckland,KarekareBethells,False,15,15,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_03JAN2011.shp,Auckland,KarekareBethells,False,8,8,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_04JAN2017.shp,Auckland,KarekareBethells,False,19,19,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_04JAN2022.shp,Auckland,KarekareBethells,False,19,19,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_04JUL2024.shp,Auckland,KarekareBethells,True,6,6,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_05APR2016.shp,Auckland,KarekareBethells,False,6,6,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_07APRIL2010.shp,Auckland,KarekareBethells,False,9,9,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_19MAR2023.shp,Auckland,KarekareBethells,True,6,6,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_20SEP2008.shp,Auckland,KarekareBethells,False,9,9,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_21MAR2021.shp,Auckland,KarekareBethells,False,23,23,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_22MAR2019.shp,Auckland,KarekareBethells,False,7,7,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_23AUG2006.shp,Auckland,KarekareBethells,False,10,10,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_23SEP2011.shp,Auckland,KarekareBethells,False,5,5,0,missing Total_UNCY
Z:\MaxarImagery\HighFreq\Auckland\KarekareBethells\Shorelines\KarekareBethells_25MAR2013.shp,Auckland,KarekareBethells,False,11,11,0,missing Total_UNCY
Z:\Retrolens\Auckland\KarekareBethells\Shorelines\KarekareBethells_02JAN2004.shp,Auckland,KarekareBethells,False,7,7,0,missing Total_UNCY
Z:\Retrolens\Auckland\KarekareBethells\Shorelines\KarekareBethells_09AUG1955.shp,Auckland,KarekareBethells,False,6,6,0,missing Total_UNCY
Z:\Retrolens\Auckland\KarekareBethells\Shorelines\KarekareBethells_14APR1940.shp,Auckland,KarekareBethells,False,6,6,0,missing Total_UNCY
Z:\Retrolens\Auckland\KarekareBethells\Shorelines\KarekareBethells_19AUG1960.shp,Auckland,KarekareBethells,False,2,2,0,missing Total_UNCY
Z:\Retrolens\Auckland\KarekareBethells\Shorelines\KarekareBethells_20MAR1988.shp,Auckland,KarekareBethells,False,7,7,0,missing Total_UNCY
Z:\Retrolens\Auckland\KarekareBethells\Shorelines\KarekareBethells_24OCT1980.shp,Auckland,KarekareBethells,False,7,7,0,missing Total_UNCY
Z:\Retrolens\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_02MAY1996.shp,Auckland,ManukapuaIsland,True,8,8,0,missing Total_UNCY
Z:\Retrolens\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_07FEB1982.shp,Auckland,ManukapuaIsland,True,13,13,0,missing Total_UNCY
Z:\Retrolens\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_09MAR2011.shp,Auckland,ManukapuaIsland,True,10,10,0,missing Total_UNCY
Z:\Retrolens\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_14OCT1966.shp,Auckland,ManukapuaIsland,True,9,9,0,missing Total_UNCY
Z:\Retrolens\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_16DEC1976.shp,Auckland,ManukapuaIsland,True,10,10,0,missing Total_UNCY
