filename,path,region,aoi,source,rows,pixel_er,pixel_er_method,photoscale,georef_er,georef_er_method,cps_values,cps_source,cps_rows_defaulted,dig_er_values,total_uncy_mean,valid_uncy_rows,missing_uncy_rows,shapefile_updated,write_skipped_due_to_incomplete_components
MaxarImagery/HighFreq/Auckland/ManukapuaIsland/Shorelines/ManukapuaIsland_08AUG2022.shp,Z:\MaxarImagery\HighFreq\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_08AUG2022.shp,Auckland,ManukapuaIsland,MAX,8,0.50917449625,rasterio:stack-date-multi-first:ManukapuaIsland_08AUG2022.tif,,1.17,fixed-by-source (shapefile Source attribute),"2,3,4,5",shapefile attribute table,0,"0.73, 0.97, 2.07, 8.59",4.448978427594385,8,0,True,False
MaxarImagery/HighFreq/Auckland/ManukapuaIsland/Shorelines/ManukapuaIsland_09JUN2023.shp,Z:\MaxarImagery\HighFreq\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_09JUN2023.shp,Auckland,ManukapuaIsland,MAX,13,0.4351204575,rasterio:stack-date-multi-first:ManukapuaIsland_09JUN2023.tif,,1.17,fixed-by-source (shapefile Source attribute),"2,3,4,5",shapefile attribute table,0,"0.73, 0.97, 2.07, 8.59",3.3374855214779795,13,0,True,False
MaxarImagery/HighFreq/Auckland/ManukapuaIsland/Shorelines/ManukapuaIsland_18MAR2024.shp,Z:\MaxarImagery\HighFreq\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_18MAR2024.shp,Auckland,ManukapuaIsland,MAX,12,0.4856134975,rasterio:stack-date-multi-first:ManukapuaIsland_18MAR2024.tif,,1.17,fixed-by-source (shapefile Source attribute),"2,3,4,5",shapefile attribute table,0,"0.73, 0.97, 2.07, 8.59",3.4143905747945915,12,0,True,False
MaxarImagery/HighFreq/Auckland/ManukapuaIsland/Shorelines/ManukapuaIsland_20JUL2019.shp,Z:\MaxarImagery\HighFreq\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_20JUL2019.shp,Auckland,ManukapuaIsland,MAX,10,0.358454757,rasterio:stack-date-multi-first:ManukapuaIsland_20JUL2019.tif,,1.17,fixed-by-source (shapefile Source attribute),"2,3,4,5",shapefile attribute table,0,"0.73, 0.97, 2.07, 8.59",5.189763459831832,10,0,True,False
Retrolens/Auckland/ManukapuaIsland/Shorelines/ManukapuaIsland_02MAY1996.shp,Z:\Retrolens\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_02MAY1996.shp,Auckland,ManukapuaIsland,RL,8,1.46302560093936,gml-sidecar:stack-date-multi-first:ManukapuaIsland_02MAY1996.jp2,50000,2.9,retrolens-csv-scale (shapefile Source attribute),"3,5",shapefile attribute table,0,"0.97, 8.59",4.838316835938282,8,0,True,False
Retrolens/Auckland/ManukapuaIsland/Shorelines/ManukapuaIsland_07FEB1982.shp,Z:\Retrolens\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_07FEB1982.shp,Auckland,ManukapuaIsland,RL,13,0.321667166771214,gml-sidecar:stack-date-multi-first:ManukapuaIsland_07FEB1982.jp2,12000,2.09,retrolens-csv-scale (shapefile Source attribute),"2,3,5",shapefile attribute table,0,"0.73, 0.97, 8.59",3.789818317343853,13,0,True,False
Retrolens/Auckland/ManukapuaIsland/Shorelines/ManukapuaIsland_09MAR2011.shp,Z:\Retrolens\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_09MAR2011.shp,Auckland,ManukapuaIsland,LDS,10,0.1,lds-published-gsd:default:2011,,0.0,fixed-by-source (shapefile Source attribute),"2,3,5",shapefile attribute table,0,"0.73, 0.97, 8.59",1.5460262914232987,10,0,True,False
Retrolens/Auckland/ManukapuaIsland/Shorelines/ManukapuaIsland_14OCT1966.shp,Z:\Retrolens\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_14OCT1966.shp,Auckland,ManukapuaIsland,RL,9,1.80233370311254,gml-sidecar:stack-date-multi-first:ManukapuaIsland_14OCT1966.jp2,67500,2.9,retrolens-csv-scale (shapefile Source attribute),"3,5",shapefile attribute table,0,"0.97, 8.59",6.0802958875458675,9,0,True,False
Retrolens/Auckland/ManukapuaIsland/Shorelines/ManukapuaIsland_16DEC1976.shp,Z:\Retrolens\Auckland\ManukapuaIsland\Shorelines\ManukapuaIsland_16DEC1976.shp,Auckland,ManukapuaIsland,RL,10,1.42292090004068,gml-sidecar:stack-date-multi-first:ManukapuaIsland_16DEC1976.jp2,50000,2.9,retrolens-csv-scale (shapefile Source attribute),"3,4,5",shapefile attribute table,0,"0.97, 2.07, 8.59",4.580062758592815,10,0,True,False
Retrolens/Auckland/OmokoritoBay/Shorelines/OmokoritoBay_05FEB1996.shp,Z:\Retrolens\Auckland\OmokoritoBay\Shorelines\OmokoritoBay_05FEB1996.shp,Auckland,OmokoritoBay,RL,12,1.46246258662906,gml-sidecar:stack-date-multi-first:OmokoritoBay_05FEB1996.jp2,50000,2.9,retrolens-csv-scale (shapefile Source attribute),"3,4",shapefile attribute table,0,"0.97, 2.07",3.5050976117075776,12,0,True,False
Retrolens/Auckland/OmokoritoBay/Shorelines/OmokoritoBay_09FEB1982.shp,Z:\Retrolens\Auckland\OmokoritoBay\Shorelines\OmokoritoBay_09FEB1982.shp,Auckland,OmokoritoBay,RL,20,0.709905525005263,gml-sidecar:stack-date-multi-first:OmokoritoBay_09FEB1982.jp2,25000,2.43,retrolens-csv-scale (shapefile Source attribute),"3,4",shapefile attribute table,0,"0.97, 2.07",2.7949082438409745,20,0,True,False
Retrolens/Auckland/OmokoritoBay/Shorelines/OmokoritoBay_09MAR2011.shp,Z:\Retrolens\Auckland\OmokoritoBay\Shorelines\OmokoritoBay_09MAR2011.shp,Auckland,OmokoritoBay,LDS,11,0.5,attribute-table:Pixel_Er,,0.0,fixed-by-source (shapefile Source attribute),"2,3",shapefile attribute table,0,"0.73, 0.97",0.9035861181008878,11,0,True,False
Retrolens/Auckland/OmokoritoBay/Shorelines/OmokoritoBay_15APR1975.shp,Z:\Retrolens\Auckland\OmokoritoBay\Shorelines\OmokoritoBay_15APR1975.shp,Auckland,OmokoritoBay,RL,15,2.16770813515998,gml-sidecar:stack-date-multi-first:OmokoritoBay_15APR1975.jp2,57000,2.9,retrolens-csv-scale (shapefile Source attribute),"2,3,4",shapefile attribute table,0,"0.73, 0.97, 2.07",3.7728110948230085,15,0,True,False
Retrolens/Auckland/OmokoritoBay/Shorelines/OmokoritoBay_24APR1940.shp,Z:\Retrolens\Auckland\OmokoritoBay\Shorelines\OmokoritoBay_24APR1940.shp,Auckland,OmokoritoBay,RL,4,0.543822302293004,gml-sidecar:stack-date-multi-first:OmokritoBay_24APR1940.jp2,16000,2.09,retrolens-csv-scale (shapefile Source attribute),2,shapefile attribute table,0,0.73,2.279636527271675,4,0,True,False
Retrolens/Auckland/OmokoritoBay/Shorelines/OmokoritoBay_28SEP1968.shp,Z:\Retrolens\Auckland\OmokoritoBay\Shorelines\OmokoritoBay_28SEP1968.shp,Auckland,OmokoritoBay,RL,15,1.80975537943764,gml-sidecar:stack-date-multi-first:OmokoritoBay_28SEP1968.jp2,67500,2.9,retrolens-csv-scale (shapefile Source attribute),"2,3",shapefile attribute table,0,"0.73, 0.97",3.5494656027779334,15,0,True,False
