scope,name,total_km,open_km,open_pct,geom_open_km_R1,geom_open_km_R2,geom_open_km_R3,geom_open_km_R5,open_km_R2_hs075,open_nzccd_cov_km,open_coastsat_cov_km,open_eroding_km,open_accreting_km,open_stable_km
all,New Zealand (LINZ MHW extent),19082.2,6096.8,32.0,7134.2,5435.4,4646.3,3689.4,4797.5,2057.9,2348.4,738.8,784.1,535.0
island,North Island,8914.8,2885.8,32.4,3240.2,2562.8,2217.3,1765.0,2348.5,1366.4,1217.3,418.4,576.0,372.0
island,Other islands,2628.9,819.9,31.2,1072.9,664.4,521.1,380.0,546.2,0.0,29.9,0.0,0.0,0.0
island,South Island,6696.4,2210.8,33.0,2606.9,2089.1,1821.8,1488.5,1804.4,677.8,1087.1,314.0,203.8,160.1
island,Stewart Island,842.1,180.4,21.4,214.2,119.1,86.1,55.9,98.3,13.7,14.1,6.5,4.3,3.0
region,Auckland,2219.1,229.2,10.3,503.9,263.2,219.8,165.2,146.4,93.3,99.5,46.2,38.1,9.0
region,Bay of Plenty,787.0,291.3,37.0,301.8,258.5,229.6,174.3,250.8,137.8,178.2,35.5,72.9,29.5
region,Canterbury,825.0,407.6,49.4,480.2,434.1,406.1,361.2,364.7,186.9,265.9,121.7,39.0,26.2
region,Gisborne,309.8,256.5,82.8,256.5,195.4,158.0,98.1,195.4,86.1,87.5,16.7,40.8,28.6
region,Hawkes Bay,400.9,321.3,80.1,343.9,311.3,287.4,246.8,291.4,115.0,157.9,35.1,49.2,30.7
region,Manawatu,166.2,163.2,98.2,163.2,160.0,155.5,143.3,160.0,113.8,115.4,28.1,73.5,12.3
region,Marlborough,811.5,85.4,10.5,144.1,120.1,107.5,85.8,69.5,13.7,57.7,3.2,5.7,4.8
region,Nelson,210.2,5.2,2.5,79.8,55.5,41.7,32.6,4.7,0.0,0.0,0.0,0.0,0.0
region,Northland,3699.0,894.7,24.2,974.2,721.9,588.7,443.5,676.6,342.0,348.2,74.3,176.7,91.0
region,Offshore/other,3137.2,771.9,24.6,869.1,503.9,394.3,293.0,475.6,0.0,59.8,0.0,0.0,0.0
region,Otago,613.4,336.9,54.9,336.9,264.5,216.2,168.5,264.5,146.5,171.3,57.8,36.7,52.0
region,Southland,2185.1,617.0,28.2,650.3,443.3,346.3,226.2,422.3,120.2,165.0,24.9,64.7,30.7
region,Taranaki,278.6,251.5,90.3,251.5,235.5,224.9,194.9,235.5,227.1,24.1,102.0,21.9,103.2
region,Tasman,684.3,108.5,15.9,250.6,214.0,198.3,170.3,103.0,0.5,33.7,0.5,0.0,0.0
region,Waikato,1651.8,465.5,28.2,637.1,454.2,364.3,286.7,337.1,130.7,137.1,38.4,59.9,32.5
region,Wellington,530.9,383.6,72.2,383.6,327.2,277.1,219.3,327.2,120.4,93.7,42.2,43.0,35.2
region,West Coast,572.1,507.5,88.7,507.5,472.6,430.7,379.6,472.6,223.6,353.2,112.3,62.0,49.3
coast_cate,None,12376.0,3598.0,29.1,4270.6,3134.0,2617.9,2057.4,2731.8,824.9,921.5,342.7,209.1,273.1
coast_cate,flat coast,22.4,12.4,55.1,12.4,9.2,7.9,6.1,9.2,2.7,1.7,0.9,0.0,1.8
coast_cate,mangrove,2027.4,52.8,2.6,79.6,25.6,20.4,15.9,4.3,0.0,0.0,0.0,0.0,0.0
coast_cate,marshy shore,132.1,43.0,32.6,53.1,49.4,45.4,38.4,41.1,24.5,36.2,4.8,12.9,6.9
coast_cate,sandy shore,2330.6,1416.0,60.8,1528.8,1315.6,1188.5,970.7,1232.3,959.7,1159.9,290.3,495.9,173.6
coast_cate,steep coast,2013.6,887.9,44.1,1072.9,798.4,675.9,531.9,702.2,198.7,167.0,84.9,41.3,72.5
coast_cate,stony shore,180.1,86.8,48.2,116.9,103.1,90.3,69.0,76.5,47.4,62.1,15.3,24.9,7.2
