driver,rho,lo,hi,n,n_blocks
hs_mean,0.1028468931694358,0.025645572486971604,0.1798303963367484,23454,380
hs_p99,0.092178017506157,0.020291718571184794,0.16523803283466504,23454,380
storm_hrs_gt4m_yr,0.1001219054128474,0.026616159876317796,0.17459906399131606,23454,380
cge_mean,0.10829849244551,0.03249437558712788,0.1846924697159316,23454,380
t01_mean,0.12266745082574582,0.039370593664159056,0.20687954345673748,23454,380
wave_incidence_deg,0.012356470173824538,-0.053476214060637434,0.07526296090133688,23454,380
beach_slope_face,-0.10469762382296446,-0.16127675979860262,-0.04908256396283212,33099,604
tanbeta_nearshore,0.09761518665301337,0.017735865177997287,0.17134125181976093,19979,357
closure_depth_m,0.02030139431307442,-0.0531811036549431,0.09729687849309794,22630,373
vlm_mm_yr,-0.04392098604336572,-0.11935182204243931,0.02367431899089982,23454,380
backshore_mean,0.03362497564413219,-0.02298549485318893,0.08754285738391433,22731,377
backshore_max,0.04581380955785484,-0.01403823376353062,0.10062092629831813,22731,377
hinterland_slope,-0.020321207114551893,-0.07724511924477301,0.03481892212248296,22721,377
spring_range_m,-0.0007959876813325254,-0.08463745180394533,0.08213253292412377,23454,380
form_factor,0.011196540857986331,-0.0670175725104634,0.0878829753393175,23454,380
dist_mouth_km,-0.049311467049186306,-0.10864164391436722,0.006883018262637953,23454,380
river_supply_idx,-0.10370365831837362,-0.1817258443300643,-0.02101962015143119,23454,380
rain_mm_yr,-0.03315511923624704,-0.11079068555222119,0.04096472570269518,23454,380
rainstorm_days,-0.029398941996372947,-0.09871077430735485,0.035243546630707896,23454,380
geol_age_ma,-0.05079917140213551,-0.10473429147543119,-0.0013392019366995171,23454,380
erodibility_ord,0.01980537674870665,-0.03995957671156909,0.08600402104072206,23454,380
shaking_idx,-0.0640619813022936,-0.14138312252083873,0.027151572968310674,23454,380
n_M5_50km,-0.01959900943557574,-0.09652023537149095,0.0666315669703887,23454,380
dist_M65_km,0.07198848280979488,-0.0132917815208268,0.14948562951965802,23454,380
