group,n,median,lo,hi
brb-m,356,-0.405,-1.475,-0.09
brb,30729,-0.32,-0.38,-0.22
r,610,-0.17,-0.31,-0.08
brb-s,2492,-0.13,-1.36525,-0.06
ibb,295,-0.09,-0.12,0.03762499999999989
brbp,9008,-0.06,-0.1,-0.01
b,28359,-0.06,-0.08,-0.04
pb,5376,-0.04,-0.06,-0.02
es,823,0.01,-0.02,0.05
fdb,47216,0.06,0.03,0.09
fdb-t,1479,0.07,-0.32525,0.26
fdbp-m,609,0.07,-0.03,0.34
brb-d,518,0.07,0.02,0.09
fdb-s,8568,0.1,0.02,0.24
fdb-m,3063,0.16,-0.03524999999999998,0.29
fdbp,59772,0.19,0.13,0.27
cp,916,0.21,-0.12049999999999997,0.53
fdbp-cf,1278,0.25,0.09,0.42
brb-hp,813,0.27,-0.42524999999999996,1.2552499999999998
fdbp-s,1746,0.34,-0.027624999999999993,0.5252499999999998
