grid,partial_dependence
0.01,-0.07589571401523615
0.015,-0.07589571401523615
0.02,-0.07589571401523615
0.025,-0.07589571401523615
0.03,-0.07589571401523615
0.035,-0.07589571401523615
0.04,-0.07589571401523615
0.045,-0.07589571401523615
0.05,-0.07589571401523615
0.055,-0.07589571401523615
0.06,-0.07589571401523615
0.065,-0.07589571401523615
0.07,-0.07589571401523615
0.075,-0.07589571401523615
0.08,-0.07589571401523615
0.085,-0.07589571401523615
0.09,-0.07589571401523615
0.095,-0.07589571401523615
0.1,-0.07589571401523615
0.105,-0.07589571401523615
0.11,-0.07589571401523615
0.115,-0.07589571401523615
0.12,-0.07589571401523615
0.125,-0.07589571401523615
0.13,-0.07589571401523615
0.135,-0.07589571401523615
0.14,-0.07589571401523615
0.145,-0.07589571401523615
0.15,-0.07589571401523615
0.155,-0.07589571401523615
0.16,-0.0806271376750724
0.165,-0.0806271376750724
0.17,-0.0806271376750724
0.175,-0.0806271376750724
0.18,-0.0806271376750724
0.185,-0.0806271376750724
0.19,-0.0806271376750724
0.195,-0.0806271376750724
,0.024310466859881634
