region,n_test,r2,mae
Northland,37267,-0.3632898328952445,1.105656599730756
Canterbury,21875,-0.01815979217450403,0.45319304681756717
West Coast,20987,-0.1841064823765317,1.0896154705182095
Taranaki,17047,-0.19490452539624892,0.26695363761491014
Waikato,16587,-0.3316472990186736,0.5985266127717462
Otago,15424,-0.2907103583490851,0.6167198987676455
Bay of Plenty,13902,-0.6248054888013626,0.5388683404184319
Hawkes Bay,13494,-0.42875665744635705,0.48196535894647113
Southland,12380,-5.5320689477019,1.2223907999988497
Auckland,11488,-1.098190068224068,2.432170656610811
Wellington,11113,-0.4738072331003864,0.3837475789597189
Manawatu,10441,-0.04736568469034874,0.9586086344427535
Tasman,10101,-1.4336983047281646,0.6024797008000347
Gisborne,8313,-0.04259482603996223,0.5218050674816268
Marlborough,5083,-0.12033740608592258,0.4678382680335643
Nelson,3036,-0.2783904253502798,0.6184016809002584
POOLED_OOF,228538,-0.4864993888497178,0.805108797731475
