,hs_mean,hs_p99,storm_hrs_gt4m_yr,cge_mean,t01_mean,wave_incidence_deg,beach_slope_face,tanbeta_nearshore,closure_depth_m,vlm_mm_yr,backshore_mean,backshore_max,hinterland_slope,spring_range_m,form_factor,dist_mouth_km,river_supply_idx,rain_mm_yr,rainstorm_days,geol_age_ma,erodibility_ord,shaking_idx,n_M5_50km,dist_M65_km
hs_mean,1.0,0.926,0.823,0.996,0.798,-0.055,-0.306,0.149,0.051,-0.051,0.219,0.22,0.103,0.214,-0.272,-0.162,-0.087,0.219,0.063,0.015,0.227,-0.231,-0.264,0.219
hs_p99,0.926,1.0,0.952,0.938,0.654,-0.094,-0.417,0.245,0.002,-0.123,0.225,0.227,0.145,0.171,-0.146,-0.18,-0.229,0.314,0.188,-0.015,0.209,-0.277,-0.228,0.173
storm_hrs_gt4m_yr,0.823,0.952,1.0,0.842,0.534,-0.094,-0.435,0.301,-0.03,-0.162,0.222,0.225,0.173,0.145,-0.064,-0.191,-0.33,0.296,0.186,-0.015,0.173,-0.314,-0.232,0.19
cge_mean,0.996,0.938,0.842,1.0,0.813,-0.066,-0.332,0.161,0.055,-0.057,0.219,0.222,0.108,0.213,-0.261,-0.158,-0.096,0.251,0.099,0.006,0.236,-0.228,-0.25,0.202
t01_mean,0.798,0.654,0.534,0.813,1.0,-0.105,-0.192,0.055,0.132,0.011,0.143,0.152,0.022,0.222,-0.259,-0.074,0.048,0.186,0.036,0.015,0.249,-0.126,-0.256,0.152
wave_incidence_deg,-0.055,-0.094,-0.094,-0.066,-0.105,1.0,0.005,-0.129,0.062,0.03,-0.321,-0.272,-0.155,0.065,-0.053,0.001,0.045,0.023,-0.02,0.006,-0.058,0.04,-0.003,0.076
beach_slope_face,-0.306,-0.417,-0.435,-0.332,-0.192,0.005,1.0,-0.013,0.036,0.233,-0.021,-0.032,-0.094,-0.263,0.184,0.079,0.237,-0.171,-0.135,0.135,-0.344,0.201,0.098,-0.141
tanbeta_nearshore,0.149,0.245,0.301,0.161,0.055,-0.129,-0.013,1.0,-0.089,-0.126,0.256,0.259,0.201,-0.111,0.247,-0.052,-0.413,-0.003,0.05,0.11,-0.09,-0.203,-0.063,0.129
closure_depth_m,0.051,0.002,-0.03,0.055,0.132,0.062,0.036,-0.089,1.0,0.086,-0.035,-0.01,-0.017,-0.098,0.063,0.028,0.197,0.007,-0.018,0.042,-0.099,0.154,0.103,-0.125
vlm_mm_yr,-0.051,-0.123,-0.162,-0.057,0.011,0.03,0.233,-0.126,0.086,1.0,-0.02,-0.019,-0.067,-0.052,-0.023,0.019,0.238,0.065,0.022,0.077,-0.132,-0.083,0.026,-0.036
backshore_mean,0.219,0.225,0.222,0.219,0.143,-0.321,-0.021,0.256,-0.035,-0.02,1.0,0.943,0.747,0.101,-0.058,-0.158,-0.199,0.009,0.006,0.523,-0.27,-0.18,-0.053,0.052
backshore_max,0.22,0.227,0.225,0.222,0.152,-0.272,-0.032,0.259,-0.01,-0.019,0.943,1.0,0.669,0.092,-0.06,-0.152,-0.197,0.001,-0.0,0.522,-0.278,-0.16,-0.041,0.04
hinterland_slope,0.103,0.145,0.173,0.108,0.022,-0.155,-0.094,0.201,-0.017,-0.067,0.747,0.669,1.0,0.011,0.067,-0.108,-0.196,0.078,0.078,0.45,-0.285,-0.125,-0.062,0.037
spring_range_m,0.214,0.171,0.145,0.213,0.222,0.065,-0.263,-0.111,-0.098,-0.052,0.101,0.092,0.011,1.0,-0.769,-0.05,0.065,0.417,0.361,0.095,0.193,-0.359,-0.208,0.29
form_factor,-0.272,-0.146,-0.064,-0.261,-0.259,-0.053,0.184,0.247,0.063,-0.023,-0.058,-0.06,0.067,-0.769,1.0,0.009,-0.382,-0.204,-0.2,-0.033,-0.225,-0.025,-0.039,0.005
dist_mouth_km,-0.162,-0.18,-0.191,-0.158,-0.074,0.001,0.079,-0.052,0.028,0.019,-0.158,-0.152,-0.108,-0.05,0.009,1.0,0.142,0.002,0.069,-0.109,0.103,0.16,0.139,-0.098
river_supply_idx,-0.087,-0.229,-0.33,-0.096,0.048,0.045,0.237,-0.413,0.197,0.238,-0.199,-0.197,-0.196,0.065,-0.382,0.142,1.0,0.062,0.044,-0.108,0.019,0.463,0.282,-0.38
rain_mm_yr,0.219,0.314,0.296,0.251,0.186,0.023,-0.171,-0.003,0.007,0.065,0.009,0.001,0.078,0.417,-0.204,0.002,0.062,1.0,0.84,-0.006,0.085,-0.129,0.025,-0.083
rainstorm_days,0.063,0.188,0.186,0.099,0.036,-0.02,-0.135,0.05,-0.018,0.022,0.006,-0.0,0.078,0.361,-0.2,0.069,0.044,0.84,1.0,0.005,0.023,0.048,0.279,-0.283
geol_age_ma,0.015,-0.015,-0.015,0.006,0.015,0.006,0.135,0.11,0.042,0.077,0.523,0.522,0.45,0.095,-0.033,-0.109,-0.108,-0.006,0.005,1.0,-0.607,-0.128,-0.107,0.06
erodibility_ord,0.227,0.209,0.173,0.236,0.249,-0.058,-0.344,-0.09,-0.099,-0.132,-0.27,-0.278,-0.285,0.193,-0.225,0.103,0.019,0.085,0.023,-0.607,1.0,-0.107,-0.145,0.201
shaking_idx,-0.231,-0.277,-0.314,-0.228,-0.126,0.04,0.201,-0.203,0.154,-0.083,-0.18,-0.16,-0.125,-0.359,-0.025,0.16,0.463,-0.129,0.048,-0.128,-0.107,1.0,0.763,-0.82
n_M5_50km,-0.264,-0.228,-0.232,-0.25,-0.256,-0.003,0.098,-0.063,0.103,0.026,-0.053,-0.041,-0.062,-0.208,-0.039,0.139,0.282,0.025,0.279,-0.107,-0.145,0.763,1.0,-0.823
dist_M65_km,0.219,0.173,0.19,0.202,0.152,0.076,-0.141,0.129,-0.125,-0.036,0.052,0.04,0.037,0.29,0.005,-0.098,-0.38,-0.083,-0.283,0.06,0.201,-0.82,-0.823,1.0
