R_km,hs_min,n_E,n_S,E_open_pct,S_enclosed_pct,balanced_acc,open_km
1,0.0,21741,828,90.3,17.8,54.0,7134.2
1,0.5,21741,828,86.7,79.0,82.9,6616.6
1,0.8,21741,828,82.1,100.0,91.0,6096.8
1,1.0,21741,828,62.2,100.0,81.1,4967.6
1,1.2,21741,828,42.8,100.0,71.4,3583.7
2,0.0,21741,828,81.1,30.6,55.9,5435.4
2,0.5,21741,828,78.4,81.2,79.8,5147.4
2,0.8,21741,828,74.0,100.0,87.0,4797.5
2,1.0,21741,828,55.9,100.0,78.0,3894.6
2,1.2,21741,828,38.3,100.0,69.2,2797.9
3,0.0,21741,828,74.3,37.1,55.7,4646.3
3,0.5,21741,828,72.0,81.5,76.8,4416.0
3,0.8,21741,828,67.9,100.0,83.9,4127.3
3,1.0,21741,828,51.1,100.0,75.5,3342.9
3,1.2,21741,828,35.2,100.0,67.6,2401.3
5,0.0,21741,828,61.9,46.3,54.1,3689.4
5,0.5,21741,828,60.0,83.5,71.7,3526.7
5,0.8,21741,828,56.7,100.0,78.3,3307.8
5,1.0,21741,828,42.6,100.0,71.3,2704.1
5,1.2,21741,828,29.9,100.0,65.0,1978.1
