group,n,median,lo,hi
sca,30265,-0.17,-0.23,-0.12
lpw,18961,-0.09,-0.17,-0.03
vrpa,3209,-0.05,-0.09524999999999999,-0.03
ler,15460,0.03,-0.03,0.1
rg,65571,0.04,0.02,0.07
lpdry,66594,0.08,0.05,0.11
scf,4329,0.17,0.06,0.37
