driver,response,rho,lo,hi,n,n_blocks
hs_mean_delta,delta_WLR,-0.08254282475888458,-0.14017245061708128,-0.030288982210775705,108467,884
hs_mean_delta,WLR_pre,0.13459014588355955,0.07897430514310048,0.194757725580937,108467,884
hs_mean_delta,WLR_post,0.04552359608523356,-0.016416114463142475,0.10239428906032863,108467,884
hs_p99_delta,delta_WLR,-0.014989457831206877,-0.0798308592548295,0.046763698149041466,108467,884
hs_p99_delta,WLR_pre,-0.01796572911828795,-0.08694659397382608,0.04351967879152326,108467,884
hs_p99_delta,WLR_post,-0.040782722541489985,-0.11074072438938821,0.014800326322524147,108467,884
storm_hrs_delta,delta_WLR,-0.04736898945175408,-0.10373980874517046,0.012157734626142095,108467,884
storm_hrs_delta,WLR_pre,0.08534349947066737,0.027082387411328436,0.14593426155502648,108467,884
storm_hrs_delta,WLR_post,0.01226151009783945,-0.056480793094110845,0.07686457342952731,108467,884
vlm_mm_yr,delta_WLR,-0.008502045597902253,-0.06075218725620689,0.04320718112431027,108467,884
vlm_mm_yr,WLR_pre,-0.05437075810274451,-0.11823468833962182,0.005976796984581528,108467,884
vlm_mm_yr,WLR_post,-0.09417663268559111,-0.15154050492078988,-0.03745570261329933,108467,884
shaking_idx,delta_WLR,0.037941724456491355,-0.0236005097537551,0.09736412506231151,108467,884
shaking_idx,WLR_pre,0.022664522599998512,-0.04579161219111944,0.0854018189261701,108467,884
shaking_idx,WLR_post,0.07520746173076931,0.009968856603596362,0.13545447184284082,108467,884
hs_mean,delta_WLR,-0.06421418855421937,-0.12137600863455594,-0.010361647353599663,108467,884
hs_mean,WLR_pre,0.0917058585789035,0.034651644683311514,0.15087127035704334,108467,884
hs_mean,WLR_post,0.015091524559951205,-0.04060676024377536,0.06352492334235926,108467,884
hs_p99,delta_WLR,-0.07716193403145177,-0.1347929295780607,-0.021089097884052787,108467,884
hs_p99,WLR_pre,0.1444751408090457,0.08717796239060858,0.20634192166368587,108467,884
hs_p99,WLR_post,0.06526163470746914,0.010232703349637428,0.1182335487534794,108467,884
storm_hrs_gt4m_yr,delta_WLR,-0.06944218663556712,-0.12345083754368412,-0.017402044017338806,108467,884
storm_hrs_gt4m_yr,WLR_pre,0.14392900446660398,0.08759133473957492,0.2026630599196744,108467,884
storm_hrs_gt4m_yr,WLR_post,0.07415824044670778,0.020019858045314882,0.12894564983967052,108467,884
cge_mean,delta_WLR,-0.07016990700087149,-0.12571851426313788,-0.017995350326875235,108467,884
cge_mean,WLR_pre,0.10887854413697318,0.05196976316460436,0.16971896350429083,108467,884
cge_mean,WLR_post,0.027704063056058024,-0.029190514887001397,0.07769765357000415,108467,884
t01_mean,delta_WLR,-0.04300481307105051,-0.09983701824773883,0.009140481942482482,108467,884
t01_mean,WLR_pre,0.03690833413934758,-0.01910799545644582,0.09652759198595227,108467,884
t01_mean,WLR_post,-0.02160087423119665,-0.083505658433523,0.02825668912139729,108467,884
wave_incidence_deg,delta_WLR,-0.07633481533307986,-0.13064889855726572,-0.027065345963057347,108467,884
wave_incidence_deg,WLR_pre,0.01714342982550234,-0.03743975426656141,0.07873716281410005,108467,884
wave_incidence_deg,WLR_post,-0.10764169315947834,-0.16280940804986124,-0.04740572628519967,108467,884
beach_slope_face,delta_WLR,0.0686641860100988,0.0032934583944250625,0.1259069336621596,83290,650
beach_slope_face,WLR_pre,-0.23693186423163312,-0.3041896398724367,-0.1694481603044865,83290,650
beach_slope_face,WLR_post,-0.16319752863501436,-0.2245440629397291,-0.10066223865446099,83290,650
tanbeta_nearshore,delta_WLR,0.009374312425995597,-0.04546016185585362,0.06969524656030701,85544,774
tanbeta_nearshore,WLR_pre,0.022912422631451195,-0.0354107686265907,0.08433592815772782,85544,774
tanbeta_nearshore,WLR_post,0.07749589764820802,0.02536679091452538,0.1258176060042745,85544,774
closure_depth_m,delta_WLR,-0.10730325149503275,-0.15672892807098798,-0.05463262390800299,99495,834
closure_depth_m,WLR_pre,0.17168655208470207,0.10878959005769327,0.22990272258405167,99495,834
closure_depth_m,WLR_post,0.061860993066861304,-0.0035406273697077004,0.12147658656482559,99495,834
backshore_mean,delta_WLR,0.10510810528898916,0.0554708532134395,0.153851321667212,106991,873
backshore_mean,WLR_pre,-0.10073330959069071,-0.153771533681958,-0.03847428576365705,106991,873
backshore_mean,WLR_post,0.04387206077418434,-0.014606640796084078,0.10199300601627663,106991,873
backshore_max,delta_WLR,0.10871637725536015,0.05595760720126234,0.15589619590023637,106991,873
backshore_max,WLR_pre,-0.11682871868671921,-0.16886341478012606,-0.06012746501236345,106991,873
backshore_max,WLR_post,0.04018112572069296,-0.014885493648219785,0.09723652314715049,106991,873
hinterland_slope,delta_WLR,0.10384534239372789,0.061953439011826456,0.14863107736764572,106979,873
hinterland_slope,WLR_pre,-0.016864224721637303,-0.060351560873586854,0.03105397370556278,106979,873
hinterland_slope,WLR_post,0.11034224019076345,0.06760034695559736,0.1574201005118071,106979,873
spring_range_m,delta_WLR,-0.05468632126929005,-0.10874815665629867,-0.005160983756859062,108467,884
spring_range_m,WLR_pre,-0.03818453478258781,-0.09665581335726177,0.027823647339663915,108467,884
spring_range_m,WLR_post,-0.102335928321259,-0.1594098429048294,-0.05054342475917338,108467,884
form_factor,delta_WLR,0.06412765083099933,0.015290816894486628,0.11941779782222613,108467,884
form_factor,WLR_pre,0.06229222410296168,-0.005533773330625246,0.12283467551032815,108467,884
form_factor,WLR_post,0.1641112654382365,0.11342913534742166,0.22031032884360463,108467,884
dist_mouth_km,delta_WLR,0.013643715287095105,-0.03417027485297922,0.05936041056122674,108467,884
dist_mouth_km,WLR_pre,0.03861911917096579,-0.01729762554851952,0.09293688144991476,108467,884
dist_mouth_km,WLR_post,0.045116861459009734,-0.006277508952126154,0.09887839616396608,108467,884
river_supply_idx,delta_WLR,-0.07856503317537376,-0.13253226657728517,-0.018971181684894062,108467,884
river_supply_idx,WLR_pre,0.04940927569540593,-0.025950237584713907,0.10736011843496744,108467,884
river_supply_idx,WLR_post,-0.04371065220742771,-0.11298488476050546,0.010065668186812936,108467,884
rain_mm_yr,delta_WLR,-0.05104735065824673,-0.107423544945058,0.0023888464764475217,108467,884
rain_mm_yr,WLR_pre,0.051998069515313994,-0.011298201383112627,0.12143517437580231,108467,884
rain_mm_yr,WLR_post,0.02463599657741394,-0.03357922708806552,0.0853916176639993,108467,884
rainstorm_days,delta_WLR,-0.007440679759315258,-0.06093150912063773,0.04853376201515025,108467,884
rainstorm_days,WLR_pre,0.029039404186669112,-0.03551542817708059,0.09510029485726776,108467,884
rainstorm_days,WLR_post,0.05363928930957455,-0.002994999778074702,0.12012299785306942,108467,884
geol_age_ma,delta_WLR,0.07363879171670344,0.035221278523990894,0.11113178447247585,108467,884
geol_age_ma,WLR_pre,-0.1699524275280614,-0.21934858099562618,-0.12200622953996065,108467,884
geol_age_ma,WLR_post,-0.07461711033581438,-0.12339077856373955,-0.03139096077318974,108467,884
erodibility_ord,delta_WLR,-0.04340443431874117,-0.09782441341410744,0.004246265632113434,108467,884
erodibility_ord,WLR_pre,0.0951985586429849,0.03846953199363744,0.15700100823001584,108467,884
erodibility_ord,WLR_post,0.03440348153970644,-0.021609323144850846,0.09050921177530036,108467,884
n_M5_50km,delta_WLR,0.01432940517272586,-0.03810736102335574,0.07872808370924797,108467,884
n_M5_50km,WLR_pre,0.02850786843696829,-0.03461733481942834,0.08973577286337299,108467,884
n_M5_50km,WLR_post,0.06894940791055114,0.005689064550019104,0.13662087111817917,108467,884
dist_M65_km,delta_WLR,-0.02831740870345492,-0.08656342808592558,0.029725877757636972,108467,884
dist_M65_km,WLR_pre,0.012949525484522283,-0.05247445343720071,0.07788042338150383,108467,884
dist_M65_km,WLR_post,-0.04341179165759526,-0.10074660596127459,0.015729069845770417,108467,884
