driver,rho_coastsat,lo_cs,hi_cs,rho_nzccd_nearest,lo_nz,hi_nz,rho_nzccd_same_transect,lo_st,hi_st,rho_nzccd_post1999,lo_99,hi_99,rho_coastsat_on_post1999_rows,n_cs,n_nz,n_st,n_post1999,n_sites
hs_mean,-0.0849394764778132,-0.18298409443544156,0.015488513012688521,0.08130607025749624,-0.03441133228209044,0.18961497442873249,0.07650888199084077,-0.02715971156167595,0.20131795344061879,-0.14629887692462226,-0.2655362913299189,-0.02229974782300318,-0.1513997397057825,23725,23725,22246,12167,380
hs_p99,-0.007504547628784819,-0.10263232439238058,0.09264551619206346,0.17279414354002476,0.05404830436578438,0.280752038950872,0.1751280109314281,0.05494496568805873,0.29368891599482533,-0.06799337087412247,-0.21456792954171525,0.07513179255690204,-0.053543463479942065,23725,23725,22246,12167,380
storm_hrs_gt4m_yr,0.020106502128923995,-0.07275220573579876,0.11480786795750618,0.18878656177805325,0.07974422390445839,0.2924243704456339,0.1906225395096791,0.07190247660915317,0.3030039246109917,-0.05310651791613133,-0.19173602027687064,0.09462735043915843,-0.046846674730799585,23725,23725,22246,12167,380
cge_mean,-0.07025673668838919,-0.1726609773125552,0.030841037521926396,0.10193103429710926,-0.02073426846501081,0.21561610253055555,0.10014392595669058,-0.011735124869497682,0.22663130834240217,-0.1266615627151297,-0.2514722681753499,0.004352105690885638,-0.126950829291053,23725,23725,22246,12167,380
t01_mean,-0.11484379367275599,-0.2201142891649954,-0.010300136247910312,-0.018146838776480694,-0.1365654957894558,0.10282097108178127,-0.025731684345250888,-0.1388844497298835,0.1027008987039727,-0.1504787285888684,-0.26244546456986056,-0.029595483099554627,-0.177780109720206,23725,23725,22246,12167,380
wave_incidence_deg,-0.08432703726029266,-0.1809691444519742,0.018940192069608286,-0.1015018190207392,-0.19426121219685893,-0.008328535883636853,-0.1054266675745932,-0.20147707504174356,-0.009611424324440097,-0.044512675748989684,-0.14158413474468384,0.07419672456803764,-0.07029707685958864,23725,23725,22246,12167,380
beach_slope_face,-0.02580644049547293,-0.09168772302852755,0.04354571358334204,-0.23625141498617058,-0.3342711669441855,-0.12660248802536686,-0.22991130757759176,-0.33756849672170475,-0.13299690502373931,-0.04816558748110236,-0.17831010017509288,0.06486036496716331,-0.006496382693674906,33422,23725,22509,12312,604
tanbeta_nearshore,0.15388607203362134,0.0554033812724029,0.2422751082740416,0.15236121419580484,0.05406849836792477,0.24296584025984172,0.15073581973962294,0.04484435653745414,0.243247950243956,0.09359123732573643,0.005304173621125013,0.1728717981516936,0.20140865026541357,20201,20201,19178,10890,357
closure_depth_m,-0.03803782034317369,-0.12344926067145721,0.05411493378579112,0.016353692312318136,-0.08136970889024442,0.12320014211166076,0.016894804709443698,-0.08902349622725429,0.11706268572877848,0.025273458233689195,-0.07845605554932394,0.1178089247325602,0.025289134297468912,22863,22863,21535,11802,373
vlm_mm_yr,-0.04670309448997605,-0.13371651437032658,0.03878743998994994,-0.12347415681253975,-0.218767761433046,-0.01858229234045076,-0.12103415386945561,-0.22185737129054287,-0.020789778550276725,-0.058511880612417584,-0.20018866185547393,0.07504597601493294,-0.052151783833405886,23725,23725,22246,12167,380
backshore_mean,0.07399843061071233,-0.0017639325301987809,0.15600366880345676,-0.008176855029709173,-0.09843361820807064,0.08942233861435521,0.0014010888632617297,-0.08615208530449632,0.09263581096487798,-0.04256413633930439,-0.15082837673154167,0.07333952867484549,0.02138931905807342,22978,22978,21726,11888,377
backshore_max,0.05816280064330374,-0.019221287354470522,0.13545782694929898,-0.022463170212976925,-0.1117983977093876,0.06881039544711373,-0.011736561471549277,-0.0993249170417479,0.0726034752784671,-0.03786459695046751,-0.14061773712652395,0.07296652585956823,0.003965550259911266,22978,22978,21726,11888,377
hinterland_slope,0.10763481475116232,0.04296218945496703,0.17348584513021897,0.04305328087224943,-0.03048691996701645,0.11563523534748756,0.0491442136071166,-0.026080235528596882,0.11397775440914654,0.0803185821930283,-0.019000634453873986,0.17465545205592684,0.08701275830553344,22963,22963,21711,11887,377
spring_range_m,-0.10051811951143878,-0.2001748745346538,-0.005973522127844973,-0.01354085302962316,-0.1196504798018879,0.08725462656511242,-0.015629088229400047,-0.11164933380105542,0.08113816411262938,-0.12416134770995176,-0.2459975524330586,-0.0007412248515347368,-0.15782523869677922,23725,23725,22246,12167,380
form_factor,0.09446603469365544,-0.011640741815524425,0.19882997674640457,0.052705801255406894,-0.04749066961575488,0.15630934467868574,0.05594417215248704,-0.04892518151005437,0.1592794083266058,0.18673544992246588,0.07305727781039159,0.28661029431664586,0.20594358777704672,23725,23725,22246,12167,380
