stratum,driver,rho,lo,hi,n,n_blocks
Accretion_HC,hs_mean,0.20487693164983226,0.1464428610429987,0.259058294693673,60273,1559
Accretion_HC,hs_p99,0.2232882707544753,0.1621295613266886,0.2759133130693624,60273,1559
Accretion_HC,storm_hrs_gt4m_yr,0.20144284567914267,0.14136606697087475,0.2553125140650044,60273,1559
Accretion_HC,cge_mean,0.2062657490658161,0.14764299797873354,0.26035411918956336,60273,1559
Accretion_HC,t01_mean,0.15037461924287968,0.08944522826327296,0.2144705650685116,60273,1559
Accretion_HC,wave_incidence_deg,-0.06117941889633376,-0.12630575075732978,0.006236245390316206,60273,1559
Accretion_HC,beach_slope_face,-0.3003178127842254,-0.3606638534863099,-0.24066905637427852,52751,1143
Accretion_HC,tanbeta_nearshore,-0.052368371388447736,-0.10909185761407282,0.01130727498545435,52042,1380
Accretion_HC,closure_depth_m,-0.04749779378007559,-0.11818396731830974,0.014151308606984686,57168,1472
Accretion_HC,vlm_mm_yr,-0.09268596579109425,-0.1443598174501307,-0.03657963160809283,60273,1559
Accretion_HC,backshore_mean,-0.11507212882604968,-0.17635512137601553,-0.05714126841975049,57844,1518
Accretion_HC,backshore_max,-0.13209346875980504,-0.1935761633093425,-0.07677569842386361,57844,1518
Accretion_HC,hinterland_slope,-0.10398356502525598,-0.15357129281474183,-0.05952789866889995,57831,1518
Accretion_HC,spring_range_m,0.10163407442912953,0.04127601272687595,0.16596934972105248,60273,1559
Accretion_HC,form_factor,-0.09058217034977088,-0.147141398542549,-0.030768865168466185,60273,1559
Accretion_HC,dist_mouth_km,-0.0069166751305520125,-0.06207139653746601,0.050826362716275116,60273,1559
Accretion_HC,river_supply_idx,0.07418169365867396,0.01423280176139834,0.1316124381330046,60273,1559
Accretion_HC,rain_mm_yr,-0.08372299683749565,-0.1471440446369501,-0.021853996465260716,60273,1559
Accretion_HC,rainstorm_days,-0.09767115455615011,-0.15603133679420592,-0.03242991296617277,60273,1559
Accretion_HC,geol_age_ma,-0.16679024067046247,-0.2149429772616727,-0.1216047710816513,60273,1559
Accretion_HC,erodibility_ord,0.2024667710485759,0.15094269608523297,0.25413373351793317,60273,1559
Accretion_HC,shaking_idx,-0.07688157692929495,-0.13170672036913045,-0.019806480881152076,60273,1559
Accretion_HC,n_M5_50km,-0.1269572964088344,-0.1786344997735292,-0.06997349343631666,60273,1559
