stratum,driver,rho,lo,hi,n,n_blocks
Auckland,hs_mean,-0.08920387576834973,-0.2261131558725901,0.05145705790939738,11488,164
Auckland,hs_p99,-0.17229143597335678,-0.2839362395684296,-0.04150209963011913,11488,164
Auckland,storm_hrs_gt4m_yr,-0.21419088933318456,-0.3289573461654483,-0.08165248347518168,11488,164
Auckland,cge_mean,-0.10954767213960442,-0.2388069443558125,0.02897500173462859,11488,164
Auckland,t01_mean,-0.17903436442647588,-0.30430417758559536,-0.024914059214038543,11488,164
Auckland,wave_incidence_deg,0.37069102538430315,0.22470874623234463,0.4860828060369251,11488,164
Auckland,beach_slope_face,0.17966523497070577,0.019864308590131843,0.3614798103261426,7935,104
Auckland,tanbeta_nearshore,0.3045419897640184,0.1638533738897761,0.43463075337742346,10226,151
Auckland,closure_depth_m,-0.13729445750836125,-0.2691329671602755,0.005910221596482983,10246,151
Auckland,vlm_mm_yr,0.15385995255471396,0.03199283981296902,0.2776561180675106,11488,164
Auckland,backshore_mean,-0.19666870297184014,-0.31400837180517327,-0.05941730946014128,11396,164
Auckland,backshore_max,-0.19080489699624412,-0.3042513992949831,-0.052448607515196574,11396,164
Auckland,hinterland_slope,-0.09242998436092992,-0.20127829292109295,0.027225319219721753,11386,164
Auckland,spring_range_m,-0.2933736634115703,-0.41308246055850006,-0.15275293879015078,11488,164
Auckland,form_factor,0.30558495215928266,0.17330452736372026,0.4274701165010446,11488,164
Auckland,dist_mouth_km,0.19837107402388937,0.07342289581463567,0.2973859679367522,11488,164
Auckland,river_supply_idx,0.03791388292139213,-0.12345966498190909,0.21533611335178562,11488,164
Auckland,rain_mm_yr,0.1916667056387496,0.029303363394313966,0.3408860741704544,11488,164
Auckland,rainstorm_days,0.4813007341639949,0.3467119391405421,0.5924132923500136,11488,164
Auckland,geol_age_ma,-0.08087954044655712,-0.17854702430987143,0.009633796873464993,11488,164
Auckland,erodibility_ord,0.03858692989635451,-0.057528707836201294,0.14018183662374675,11488,164
Auckland,shaking_idx,0.07913189849906903,-0.06503219085656749,0.2422248118039146,11488,164
Auckland,n_M5_50km,-0.014248605818824107,,,11488,164
Auckland,dist_M65_km,-0.22501674777336259,-0.3761881720272721,-0.08612888046662295,11488,164
Bay of Plenty,hs_mean,0.25070251937493493,0.14910125702295993,0.36334868689275507,13902,157
Bay of Plenty,hs_p99,0.19155685433404548,0.06875057116530264,0.3039101027492017,13902,157
Bay of Plenty,storm_hrs_gt4m_yr,0.163390915406251,0.02742600438518659,0.2851520590286149,13902,157
Bay of Plenty,cge_mean,0.24248534593921064,0.1423823267754275,0.35478848487896736,13902,157
Bay of Plenty,t01_mean,-0.14355204892052773,-0.28040450461480915,0.0033543181175331995,13902,157
Bay of Plenty,wave_incidence_deg,-0.18278342700327027,-0.29238207365988744,-0.07112730375101911,13902,157
Bay of Plenty,beach_slope_face,7.08988705609872e-05,-0.15068948369837545,0.13587094040016465,13751,152
Bay of Plenty,tanbeta_nearshore,0.11829060506723041,-0.0016048493071993326,0.24853273633646183,13422,152
Bay of Plenty,closure_depth_m,0.37835367656470853,0.2393995304181404,0.5022194947666793,13422,152
Bay of Plenty,vlm_mm_yr,-0.25466302624799175,-0.38947770985568353,-0.10723615224675583,13902,157
Bay of Plenty,backshore_mean,0.022358359593884387,-0.10283212266877757,0.14990159265003436,13902,157
Bay of Plenty,backshore_max,-0.005073920224733522,-0.1366125095353068,0.12845522791092556,13902,157
Bay of Plenty,hinterland_slope,0.1742518479974566,0.07820599899075456,0.2670203089599236,13902,157
Bay of Plenty,spring_range_m,-0.04118333909198191,-0.1747317560454079,0.10417079368397233,13902,157
Bay of Plenty,form_factor,0.10818446424958957,-0.0437214852365868,0.23743288928515008,13902,157
