,mean_importance,std_across_regions
beach_slope_face,0.06876334500693458,0.1306430103713008
backshore_mean,0.0439061648817811,0.07750194644410606
rain_mm_yr,0.042737678292502544,0.10308473679066191
hs_p99,0.03535669714297034,0.08971158518456765
tanbeta_nearshore,0.02574445120992316,0.1075776022084762
SHORE_TYPE,0.0255996140960549,0.1738351235107687
shaking_idx,0.02009866254656889,0.10668453846873047
HINTERLAND,0.019549350960444186,0.07538583089555165
dist_M65_km,0.018448278194674428,0.06921071060472525
landward_side,0.017240767856234584,0.03679497756765898
hinterland_slope,0.008168246983324511,0.07786695779173437
t01_mean,0.007325036948314815,0.15800742963696876
wave_incidence_deg,0.006350036913905477,0.08746677122218366
geol_age_ma,0.005729670928461708,0.029456917880498635
lith_class,0.0032658354059345823,0.04996113558601466
vlm_mm_yr,0.0020632610896439375,0.08104261125919321
n_M5_50km,0.001365210237998679,0.015281577219806514
dist_mouth_km,0.0008548883145196643,0.07053615363662705
EXPOSURE,0.0007364850030718046,0.004778642618716564
erodibility_ord,0.0004400553350161957,0.0010380132401900356
erodibility,0.0004138306281596767,0.00799288249305911
river_supply_idx,-0.010447202131850367,0.17200521713428077
form_factor,-0.011734364350074277,0.1144584325033542
backshore_max,-0.015988142410147933,0.12692723334478972
rainstorm_days,-0.025964842879802774,0.11666898665458993
spring_range_m,-0.026604094427424622,0.10122545316329079
storm_hrs_gt4m_yr,-0.03057881303858728,0.08452624123914924
closure_depth_m,-0.03219842042441695,0.11752157635888638
cge_mean,-0.037168825675794714,0.10331039901870005
hs_mean,-0.055783057124050926,0.31400870145299054
