scope,n,pre_median,post_median,delta_median,pct_eroding_pre,pct_eroding_post,persistence_rho
ALL,33099,-0.058,0.178,0.288,52.841,41.85,0.074
Auckland,1123,-0.448,-0.078,0.321,66.073,55.654,0.237
Bay of Plenty,1769,0.045,0.575,0.527,47.598,25.155,-0.146
Canterbury,3052,-0.227,-0.111,0.167,63.925,56.258,0.247
Gisborne,903,-0.017,0.462,0.53,52.049,27.575,0.362
Hawkes Bay,1595,-0.003,0.191,0.213,50.094,40.94,0.078
Manawatu,1357,0.794,0.963,0.389,29.698,26.603,0.316
Marlborough,737,-0.04,0.841,0.829,53.867,17.232,0.095
Northland,3983,-0.16,0.301,0.629,57.319,34.773,0.01
Otago,1877,-0.241,0.175,0.442,62.706,41.982,0.055
Southland,1675,0.03,0.418,0.304,48.119,33.791,0.197
Taranaki,240,-0.23,-0.27,0.041,67.5,69.583,0.189
Tasman,224,-0.076,0.064,0.16,54.911,42.411,0.076
Waikato,1467,-0.207,0.308,0.459,60.464,31.152,-0.135
Wellington,808,0.425,0.537,0.267,37.129,24.01,0.315
West Coast,2593,0.313,-0.053,-0.522,41.072,51.562,-0.133
