lag_m,r
250,0.4612833876520957
500,0.32135246731160694
750,0.2284112234903204
1000,0.3041324425645226
1250,0.18981283152842102
1500,0.2699694691507289
1750,0.11676093462336902
2000,0.12410491295744878
2250,0.08808933130055
2500,0.054365329271410745
2750,-0.000806044498677938
3000,-0.03233960509252022
3250,-0.042966737307544446
3500,-0.02205692189409351
3750,0.012160275342045973
4000,-0.005316662898965407
4250,0.008300995581061038
4500,-0.10996128267439201
4750,-0.03990706155816988
5000,-0.027136264994727967
5250,0.09145496779917706
5500,-0.014113638115239436
5750,0.002547783083846022
6000,0.004206023814272998
6250,-0.013065960817347847
6500,-0.04647399803734812
6750,-0.048905229266147036
7000,-0.006568637015940623
7250,0.037585311538698735
7500,0.04314758469643609
7750,0.05670953923513269
8000,0.07410754518836299
8250,0.018834474522566244
8500,-0.18180471447457172
8750,-0.17086324034311495
9000,0.06500293095805033
9250,0.1366615772234461
9500,0.1657704023564007
9750,0.15916375665388932
10000,-0.047966825409156526
10250,-0.03495659402649541
10500,0.020625146947844657
10750,0.05594633631600649
11000,0.04301634376440261
11250,0.03059997079542025
11500,0.05945350839054104
11750,-0.013994778283254608
12000,-0.0020687423445094055
12250,0.000424987947726931
12500,0.02439087132171147
12750,0.018963561237910345
13000,0.0006824464951712359
13250,0.1240136543361221
13500,0.18602839476167307
13750,0.08342462567616
14000,-0.23409803121924133
14250,-0.24772643172360342
14500,-0.12472887699129682
14750,0.1753952214355933
15000,-0.314023897530436
15250,0.023575336734782296
15500,0.020679690694696138
15750,0.018049393781378743
16000,0.016161857495099786
16250,0.013780933683494393
16500,0.010662050224383792
16750,0.00678287653047957
17000,0.005622471181039719
17250,0.006859533937261216
17500,0.007734837039702596
17750,0.0076810769682462456
18000,0.00587232014702081
18250,0.003645461184330307
18500,0.0024393948078709014
18750,-0.0013628431794472044
19000,-0.0014602583644785982
19250,-0.003476473068340785
19500,-0.005009780189020361
19750,-0.0033895997049243854
20000,-0.0009717346306440146
