driver,eps2_coastsat,eps2_nzccd_matched,k,n
Typology,0.14897495994200072,0.822835474942122,5,23400
SubTypolog,0.006869156486483393,0.0036435069974449586,3,19521
SHORE_TYPE,0.02867557854933867,0.13495065623752067,9,21484
EXPOSURE,0.0016095891072607181,0.0009719651503694161,2,22086
HINTERLAND,0.013171576095614946,0.07377866683529936,6,22165
lith_class,0.001846458360165203,0.032959736021547635,4,23473
erodibility,,,1,1380
