level,driver,rho,lo,hi,n,n_blocks
transect,hs_mean,0.024475675060126614,-0.01017024152563712,0.0576102881909726,228538,2959
transect,hs_p99,0.0954718558404351,0.058938493148102435,0.13132793346280044,228538,2959
transect,storm_hrs_gt4m_yr,0.12112776729101028,0.08606510270040262,0.1554081060997238,228538,2959
transect,cge_mean,0.04042456065920158,0.005615958622687556,0.07473485565843155,228538,2959
transect,t01_mean,-0.022027982161191523,-0.05652389345559844,0.016409088429359182,228538,2959
transect,wave_incidence_deg,-0.1151606709640333,-0.14971060268392347,-0.0794020182685993,228538,2959
transect,beach_slope_face,-0.2579413289220321,-0.2963023283688286,-0.2199829171880567,163897,2031
transect,tanbeta_nearshore,0.11219934567331957,0.07633603259663439,0.14614794189824873,190375,2638
transect,closure_depth_m,0.013336465512559516,-0.02249949443754323,0.04958567272854594,213093,2813
transect,vlm_mm_yr,-0.08201255393318581,-0.11693462527867643,-0.04604396293848551,228538,2959
transect,backshore_mean,-0.052171204266558524,-0.08775603449292246,-0.01923425028012771,222030,2898
transect,backshore_max,-0.054046811028724946,-0.08883710399691506,-0.02227163852223882,222030,2898
transect,hinterland_slope,0.01063762608469455,-0.023174197880597783,0.03904099430411358,221924,2897
transect,spring_range_m,-0.05505855879308694,-0.08599402695976535,-0.02161056337752138,228538,2959
transect,form_factor,0.09667607796593125,0.06341069184499862,0.12797440519131925,228538,2959
transect,dist_mouth_km,0.026794801218889764,-0.006560767627280592,0.058491528063033524,228538,2959
transect,river_supply_idx,-0.10328217347246801,-0.14072922314162156,-0.06665652887993054,228538,2959
transect,rain_mm_yr,0.024071783218883695,-0.014451955493753952,0.05870889026534138,228538,2959
transect,rainstorm_days,0.013125084564893263,-0.02759146543884521,0.048755039653354364,228538,2959
transect,geol_age_ma,-0.13467928556723685,-0.16181102888776275,-0.108927995894864,228538,2959
transect,erodibility_ord,0.12239953758538812,0.09285391830027309,0.15442726187806396,228538,2959
transect,shaking_idx,-0.04809684505977953,-0.08374721606789315,-0.011190058603322674,228538,2959
transect,n_M5_50km,0.006721854029990493,-0.03383831505081221,0.042905965396065705,228538,2959
transect,dist_M65_km,0.05617132232098924,0.021202595236623985,0.09325237793879466,228538,2959
1km,hs_mean,0.003899501985340363,-0.030903197595091803,0.04047520961452903,2959,2959
1km,hs_p99,0.06814715285173258,0.03184341512218624,0.10388377112820626,2959,2959
1km,storm_hrs_gt4m_yr,0.09573348599058425,0.05822094654727469,0.13287743364746987,2959,2959
1km,cge_mean,0.016655910892468873,-0.018178190970210836,0.054166969685244634,2959,2959
1km,t01_mean,-0.03538488770749357,-0.07154167905079964,0.0025551839861702643,2959,2959
1km,wave_incidence_deg,-0.11113122683234034,-0.14883111896388856,-0.07227248401498315,2959,2959
1km,beach_slope_face,-0.2490604399955118,-0.29214765097921674,-0.2081410745812995,2031,2031
1km,tanbeta_nearshore,0.12211069401875256,0.08536126831134139,0.1555267916093324,2638,2638
1km,closure_depth_m,0.011375281010842671,-0.026168488515313403,0.04866247880108941,2813,2813
1km,vlm_mm_yr,-0.06569182406220546,-0.10228884648763867,-0.029646348209145017,2959,2959
1km,backshore_mean,-0.07856447600485165,-0.1165962550820127,-0.040384476395414926,2898,2898
1km,backshore_max,-0.071112607553597,-0.11056923488168816,-0.03296425053470615,2898,2898
1km,hinterland_slope,-0.0082649693019371,-0.047643696949994055,0.029284542128183627,2897,2897
1km,spring_range_m,-0.06177737522784019,-0.0945472430024604,-0.02898629285472437,2959,2959
1km,form_factor,0.10702520279334024,0.07261996396022072,0.14082080424023766,2959,2959
1km,dist_mouth_km,0.03179411610023003,-0.0059823837195818646,0.06679571083963276,2959,2959
1km,river_supply_idx,-0.10418124678591985,-0.14316672639337577,-0.06631554513106319,2959,2959
1km,rain_mm_yr,0.004386953578732281,-0.03492740441971755,0.03887627291837697,2959,2959
1km,rainstorm_days,-0.015093349474885354,-0.05567339256610203,0.019226990699239974,2959,2959
1km,geol_age_ma,-0.12876256244569617,-0.15853761637787667,-0.0980198686268399,2959,2959
1km,erodibility_ord,0.11385641903541362,0.08014096975510406,0.1482910005876735,2959,2959
1km,shaking_idx,-0.06725181642924688,-0.10429389955336421,-0.031147856339106175,2959,2959
1km,n_M5_50km,-0.03430313934764406,-0.07412130744642893,0.002605558816758266,2959,2959
