level,driver,rho,lo,hi,n,n_blocks
1km,dist_M65_km,0.08728703053899556,0.05394043132735223,0.1253559235309245,2959,2959
site,hs_mean,-0.04179855108421774,-0.07559685284028717,-0.010496853542914285,8977,2508
site,hs_p99,-0.0036770480819116884,-0.037580761868723965,0.028228890643803486,8977,2508
site,storm_hrs_gt4m_yr,0.02057340151458393,-0.014919587834316891,0.055090255522137255,8977,2508
site,cge_mean,-0.03585194169733923,-0.0695405428424789,-0.004563271705168585,8977,2508
site,t01_mean,-0.05367690847009728,-0.08940924375779966,-0.02226084234176374,8977,2508
site,wave_incidence_deg,-0.09550826550854113,-0.12718966598415196,-0.06355139353768079,8977,2508
site,beach_slope_face,-0.10225596399372913,-0.1442578090094594,-0.060029207579765806,5811,1670
site,tanbeta_nearshore,0.04947354487242579,0.01695147053777632,0.08040173147512214,7818,2247
site,closure_depth_m,-0.024318470324590277,-0.056438716351897816,0.013054128196994273,8386,2369
site,vlm_mm_yr,-0.012120703247371882,-0.04688253842764664,0.018474528928726322,8977,2508
site,backshore_mean,-0.07882986597380233,-0.11020073205028201,-0.04772697493185265,8822,2461
site,backshore_max,-0.06973721604921881,-0.10195692832865638,-0.03532483616692572,8822,2461
site,hinterland_slope,-0.023012163460056155,-0.05241761151190063,0.009837158166210221,8821,2460
site,spring_range_m,-0.047529014823673124,-0.08362653728315807,-0.013120121443462123,8977,2508
site,form_factor,0.09172539342386529,0.05830611498626066,0.1254674364647696,8977,2508
site,dist_mouth_km,-0.019644222568937872,-0.049299955207771244,0.015497995575761694,8977,2508
site,river_supply_idx,-0.09821407691271178,-0.13432151262631595,-0.06348452756981433,8977,2508
site,rain_mm_yr,-0.014174078665557694,-0.0470101505726656,0.016724976019192046,8977,2508
site,rainstorm_days,-0.03261231045990876,-0.0669267332141636,0.0018768260208095306,8977,2508
site,geol_age_ma,-0.06605227285177244,-0.09338788465777322,-0.03571851884834866,8977,2508
site,erodibility_ord,0.05781221956951101,0.025396318899922634,0.08638773224265028,8977,2508
site,shaking_idx,-0.0885742686023425,-0.12445764053691859,-0.05512408908946405,8977,2508
site,n_M5_50km,-0.07603331092620597,-0.11074983276245567,-0.043388837679380364,8977,2508
site,dist_M65_km,0.09245091104218779,0.05963015502226171,0.13215098547406529,8977,2508
