driver,response,H,eps2,k,n
Typology,WLR,188044.68377004494,0.8375820535585046,6,224509
Typology,SCE,55050.254890818476,0.2451871685047348,6,224509
SubTypolog,WLR,395.0553467249983,0.002084897741546205,3,188528
SubTypolog,SCE,21944.33896418676,0.11638954496319726,3,188528
SHORE_TYPE,WLR,27199.563702345476,0.13323413871329998,20,204026
SHORE_TYPE,SCE,36101.03941149839,0.17686754022675014,20,204026
EXPOSURE,WLR,277.1977995968804,0.0013415749668365114,4,204389
EXPOSURE,SCE,3141.754858570002,0.015357070521662557,4,204389
HINTERLAND,WLR,14123.650705026794,0.069074824128479,7,204389
HINTERLAND,SCE,12077.197299960704,0.05906193940738766,7,204389
lith_class,WLR,4521.557509056381,0.01977359514919834,7,228370
lith_class,SCE,27619.87401116506,0.1209209636025322,7,228370
erodibility,WLR,,,1,9517
erodibility,SCE,,,1,9517
