scope,n,WLR_pre_median,WLR_post_median,delta_median,pct_eroding_pre,pct_eroding_post,corr_pre_post
ALL,108467,0.018494373438783487,-0.04246701555083361,-0.07421324701742571,48.15566024689537,53.682686900163176,0.1838529294555259
Auckland,3658,0.07049611703986798,0.06745991459769575,-0.030315632632112923,40.732640787315475,44.17714598141061,-0.13481127465016257
Bay of Plenty,9759,0.14089051294015986,0.029823990025428276,-0.26004591729700083,40.721385387847114,48.19141305461625,0.14545328023471357
Canterbury,14941,-0.20813973488251034,-0.13578219893201599,0.055228515633346034,62.800348035606724,61.10032795662941,0.4835128459771352
Gisborne,6470,0.07441841992010617,0.07894294164869686,0.07292386957048089,43.75579598145286,42.72024729520866,0.1963047969025318
Hawkes Bay,6140,-0.10502189982314222,0.19498400257054088,0.1006394124768613,57.57328990228013,40.814332247557005,0.16462298928339064
Manawatu,1314,1.687712881859332,2.2106898907578527,0.6038211961310325,25.570776255707763,6.8493150684931505,0.2812432461859335
Marlborough,2460,0.20278029439530076,0.1333914894657703,0.10500544350747859,39.63414634146341,34.390243902439025,0.179671006444219
Nelson,2884,0.09132956275122486,-0.2570923247270175,-0.4100814811744772,35.020804438280166,77.11511789181692,0.08388801459193553
Northland,11200,0.0600503757517073,0.025149700459859876,-0.04514039017333079,44.455357142857146,47.07142857142857,0.09425306106072129
Otago,14046,0.014652546212716635,-0.14742849322419246,-0.13701906801465005,47.921116332051824,65.42076035882101,0.2053437732739017
Southland,9670,0.19403639753383067,0.0803371420198607,-0.11689807365640147,34.488107549121,43.09203722854188,-0.0003325617638263635
Taranaki,2573,-0.22464040595555773,-0.3204470184994906,-0.09554004035472557,82.27749708511465,76.64205207928488,0.21604675209794527
Tasman,9420,-0.023854355763540183,-0.07304231410420992,-0.05544357517088212,55.62632696390658,61.42250530785562,-0.026997148445315353
Waikato,6571,-0.050756677283893006,-0.42524789242844585,-0.5086179394050291,54.16222797138944,64.46507380916147,-0.11687950704656273
Wellington,2746,0.30391956209905724,0.1243240297930538,-0.1739705334686028,12.09031318281136,28.587035688273854,0.1616584776408562
West Coast,4615,-0.04561906357716266,-0.35702804016430084,-0.5092177965449411,52.13434452871073,63.77031419284941,0.22630370249552176
